x1,x2,x3,x4,x5
1285.0,1291.0,1280.6,235330,1284.1
1288.5,1296.9,1286.4,244540,1294.8
1296.5,1300.4,1278.1,316060,1285.8
1287.0,1297.0,1284.1,204680,1289.9
1289.9,1291.4,1280.2,221920,1285.9
