Date,Close,Open,High,Low,Volume
2019-11-27,1457.9,1465.6,1465.6,1457.0,4340.0
2019-11-28,1472.7,1461.2,1472.9,1459.1,272340.0
2019-11-29,1470.0,1459.3,1470.1,1456.9,1630.0
2019-12-02,1466.4,1467.3,1468.5,1457.4,1400.0
2019-12-03,1481.6,1465.5,1484.7,1462.8,1400.0
2019-12-04,1477.5,1480.4,1487.0,1474.0,880.0
2019-12-05,1480.3,1477.6,1482.7,1475.9,640.0
2019-12-06,1462.5,1478.2,1481.5,1461.0,680.0
2019-12-09,1462.8,1461.1,1467.3,1460.7,2250.0
2019-12-10,1465.9,1463.9,1470.7,1462.4,640.0
2019-12-11,1472.7,1466.2,1481.0,1465.0,600.0
2019-12-12,1469.8,1476.5,1488.9,1465.8,1150.0
2019-12-13,1478.6,1469.5,1479.7,1463.3,820.0
2019-12-16,1477.9,1477.1,1481.3,1475.4,460.0
2019-12-17,1477.0,1477.6,1481.5,1475.9,2750.0
2019-12-18,1474.7,1476.7,1480.0,1470.5,780.0
2019-12-19,1480.2,1475.7,1481.2,1472.6,1690.0
2019-12-20,1477.0,1478.8,1480.4,1475.8,300.0
2019-12-23,1484.3,1477.8,1485.4,1477.5,3420.0
2019-12-24,1500.6,1485.0,1500.8,1483.9,500.0
2019-12-26,1510.7,1498.7,1513.6,1498.2,1010.0
2019-12-27,1514.3,1512.0,1515.6,1508.8,840.0
2019-12-30,1518.6,1515.9,1519.1,1513.5,178720.0
2019-12-31,1523.1,1517.7,1529.0,1517.5,220850.0
2020-01-02,1528.1,1521.0,1534.0,1519.7,270550.0
2020-01-03,1552.4,1531.7,1556.6,1530.4,436740.0
2020-01-06,1568.8,1562.7,1590.9,1562.3,558970.0
2020-01-07,1574.3,1567.4,1579.2,1557.0,435870.0
2020-01-08,1560.2,1578.8,1613.3,1553.4,813410.0
2020-01-09,1554.3,1557.7,1562.4,1541.0,372880.0
2020-01-10,1560.1,1553.4,1564.1,1546.7,344340.0
2020-01-13,1550.6,1563.0,1563.1,1547.0,311730.0
2020-01-14,1544.6,1548.6,1549.5,1536.4,340910.0
2020-01-15,1554.0,1546.8,1558.8,1546.5,310070.0
2020-01-16,1550.5,1556.6,1558.2,1548.0,260050.0
2020-01-17,1560.3,1553.0,1561.4,1549.3,264930.0
2020-01-20,1557.9,1557.3,1568.8,1546.0,462620.0
2020-01-21,1557.9,1557.3,1568.8,1546.0,462620.0
2020-01-22,1556.7,1558.9,1559.8,1550.0,286080.0
2020-01-23,1565.4,1558.9,1567.5,1551.3,361030.0
2020-01-24,1571.9,1562.9,1575.5,1555.8,427140.0
2020-01-27,1577.4,1580.5,1588.4,1575.3,398060.0
2020-01-28,1569.8,1580.6,1582.2,1564.6,378010.0
2020-01-29,1570.4,1566.3,1577.7,1562.0,251270.0
2020-01-30,1586.5,1578.7,1587.8,1574.2,4080.0
2020-01-31,1584.9,1575.6,1592.3,1572.0,2470.0
2020-02-03,1579.5,1594.6,1595.1,1570.5,1600.0
2020-02-04,1552.7,1579.5,1580.7,1550.0,1880.0
2020-02-05,1560.1,1553.2,1563.2,1548.4,1520.0
2020-02-06,1567.2,1556.8,1568.9,1553.5,1480.0
2020-02-07,1570.6,1567.6,1574.6,1560.7,1010.0
2020-02-10,1576.6,1573.0,1577.3,1569.1,460.0
2020-02-11,1567.2,1573.0,1574.5,1562.6,860.0
2020-02-12,1568.8,1567.9,1570.3,1561.6,830.0
2020-02-13,1576.3,1566.8,1578.8,1566.6,1300.0
2020-02-14,1583.8,1577.5,1585.3,1573.6,690.0
2020-02-17,1603.6,1585.1,1608.2,1581.8,414240.0
2020-02-18,1601.0,1581.2,1605.3,1579.2,2680.0
2020-02-19,1608.8,1601.8,1612.9,1600.0,2210.0
2020-02-20,1617.4,1610.9,1622.8,1603.8,2790.0
2020-02-21,1645.1,1620.4,1648.1,1618.6,2320.0
2020-02-24,1673.5,1651.0,1687.3,1651.0,2810.0
2020-02-25,1647.0,1662.0,1662.3,1625.0,2650.0
2020-02-26,1640.4,1636.4,1652.4,1624.4,1990.0
2020-02-27,1642.5,1643.0,1662.5,1636.7,573290.0
2020-02-28,1566.7,1646.1,1651.0,1564.0,745840.0
2020-03-02,1594.8,1592.8,1612.1,1576.3,443530.0
2020-03-03,1644.4,1586.0,1650.5,1585.9,466530.0
2020-03-04,1643.0,1640.1,1654.3,1632.6,313340.0
2020-03-05,1668.0,1638.2,1675.5,1635.6,363000.0
2020-03-06,1672.4,1673.1,1692.8,1642.4,659630.0
2020-03-09,1675.7,1692.6,1704.3,1658.0,504160.0
2020-03-10,1660.3,1679.6,1681.3,1641.1,385480.0
2020-03-11,1642.3,1649.3,1671.8,1632.4,404350.0
2020-03-12,1590.3,1633.1,1651.0,1560.4,605720.0
2020-03-13,1516.7,1582.7,1597.9,1504.0,551050.0
2020-03-16,1486.5,1563.8,1574.8,1450.9,565980.0
2020-03-17,1525.8,1512.8,1554.3,1465.6,434510.0
2020-03-18,1477.9,1527.6,1547.0,1473.3,435190.0
2020-03-19,1479.3,1487.2,1502.8,1460.1,325290.0
2020-03-20,1484.6,1471.6,1519.4,1457.5,269970.0
2020-03-23,1567.6,1505.0,1569.3,1484.6,362070.0
2020-03-24,1660.8,1563.8,1698.0,1560.5,418780.0
2020-03-25,1633.4,1666.2,1699.3,1615.2,254190.0
2020-03-26,1651.2,1642.5,1672.5,1611.0,215970.0
2020-03-27,1625.0,1640.4,1647.2,1611.4,100640.0
2020-03-30,1637.1,1653.7,1667.4,1623.4,3080.0
2020-03-31,1589.3,1634.6,1634.6,1582.8,970.0
2020-04-01,1584.1,1581.7,1605.0,1574.8,350.0
2020-04-02,1630.7,1599.0,1635.8,1590.5,440.0
2020-04-03,1637.6,1629.7,1642.0,1616.5,510.0
2020-04-06,1684.0,1639.7,1705.5,1628.1,1470.0
2020-04-07,1672.6,1694.8,1731.8,1662.0,2140.0
2020-04-08,1674.1,1669.8,1685.0,1660.8,1290.0
2020-04-09,1739.9,1669.2,1739.7,1666.5,1880.0
2020-04-13,1749.8,1729.5,1760.6,1711.8,1610.0
2020-04-14,1759.1,1752.7,1778.2,1737.7,1160.0
2020-04-15,1729.6,1746.6,1747.7,1722.4,1080.0
2020-04-16,1722.7,1732.2,1756.4,1718.0,1020.0
2020-04-17,1690.8,1722.9,1725.7,1683.5,1830.0
2020-04-20,1703.4,1685.0,1710.0,1677.6,620.0
2020-04-21,1678.3,1703.6,1709.9,1659.2,1660.0
2020-04-22,1727.4,1698.6,1730.4,1690.1,1650.0
2020-04-23,1733.4,1725.6,1750.0,1721.2,1700.0
2020-04-24,1724.2,1733.7,1746.6,1715.0,900.0
2020-04-27,1712.6,1734.3,1734.3,1708.3,740.0
2020-04-28,1710.6,1713.5,1720.7,1694.9,1260.0
2020-04-29,1713.4,1724.8,1733.5,1708.2,159600.0
2020-04-30,1694.2,1729.6,1737.0,1687.5,234530.0
2020-05-01,1700.9,1693.5,1714.4,1676.0,168020.0
2020-05-04,1713.3,1711.2,1726.0,1700.3,148730.0
2020-05-05,1710.6,1711.0,1717.8,1695.4,184730.0
2020-05-06,1688.5,1714.1,1716.6,1683.0,203370.0
2020-05-07,1725.8,1686.0,1733.2,1683.9,250700.0
2020-05-08,1713.9,1727.2,1735.5,1703.1,232810.0
2020-05-11,1698.0,1706.0,1713.8,1692.1,202170.0
2020-05-12,1706.8,1700.0,1716.7,1693.5,198070.0
2020-05-13,1716.4,1705.0,1726.5,1701.6,211610.0
2020-05-14,1740.9,1723.1,1746.5,1716.0,212910.0
2020-05-15,1756.3,1738.5,1761.2,1736.8,200180.0
2020-05-18,1734.4,1757.5,1775.8,1729.3,271470.0
2020-05-19,1745.6,1734.8,1751.6,1727.2,185260.0
2020-05-20,1752.1,1749.2,1757.6,1744.0,184460.0
2020-05-21,1721.9,1751.7,1751.7,1715.3,238740.0
2020-05-22,1735.5,1726.0,1742.0,1722.5,196820.0
2020-05-25,1705.6,1734.8,1737.2,1700.0,313170.0
2020-05-26,1705.6,1730.2,1737.2,1700.0,313170.0
2020-05-27,1710.7,1703.1,1713.2,1684.2,137420.0
2020-05-28,1719.8,1718.7,1734.5,1714.0,1560.0
2020-05-29,1742.9,1724.9,1745.0,1718.6,1190.0
2020-06-01,1743.3,1743.0,1752.7,1730.5,710.0
2020-06-02,1728.9,1743.5,1750.0,1724.1,690.0
2020-06-03,1701.0,1729.7,1729.8,1686.9,1720.0
2020-06-04,1721.8,1699.6,1722.6,1695.5,1100.0
2020-06-05,1678.5,1715.0,1717.2,1669.1,1100.0
